id,order_id,product_id,quantity,price
1,83,31,2,61724.86
2,2,58,3,93110.22
3,38,49,4,38940.84
4,51,19,4,13247.71
5,47,28,4,21154.78
6,23,73,4,35620.68
7,94,65,3,26825.3
8,70,76,2,63977.92
9,85,68,6,54147.86
10,3,4,1,17410.86
11,38,98,1,35119.9
12,78,29,7,94930.32
13,39,50,4,63356.22
14,89,90,1,27489.36
15,62,97,8,27148.23
16,53,5,9,18082.82
17,75,50,3,42936.15
18,33,34,6,47172.88
19,85,49,1,96487.27
20,23,47,10,34203.78
21,7,93,8,33119.87
22,82,51,10,63592.13
23,71,52,9,34356.19
24,90,39,9,86105.82
25,92,90,9,69260.17
26,80,67,2,85309.91
27,25,71,8,29617.72
28,97,85,7,75848.98
29,21,66,5,62949.31
30,36,34,9,86290.14
31,44,13,8,66389.39
32,13,17,9,39225.0
33,55,2,9,71149.4
34,17,98,4,85998.68
35,28,51,10,87112.26
36,65,10,2,62187.97
37,82,34,7,42614.74
38,99,96,10,56572.05
39,60,37,3,80682.55
40,4,41,1,65152.45
41,93,29,7,53318.72
42,22,72,6,42286.53
43,17,67,5,92956.61
44,35,34,3,72156.9
45,40,15,2,55006.25
46,69,28,7,19340.54
47,80,83,2,43209.9
48,53,14,10,93947.46
49,75,82,9,78697.4
50,3,100,8,34432.39
51,100,89,4,92988.36
52,30,77,10,28293.28
53,54,62,8,16334.51
54,45,26,4,75658.05
55,52,58,7,45572.38
56,41,1,10,51314.28
57,16,85,6,39029.3
58,85,29,7,56951.16
59,65,90,8,63316.32
60,96,64,1,81422.59
61,78,33,6,32934.3
62,23,53,9,13285.89
63,68,12,2,13182.29
64,74,83,9,96890.5
65,95,62,7,17377.18
66,29,76,1,96167.72
67,84,94,8,41363.64
68,56,68,7,29827.49
69,75,66,5,33399.89
70,84,97,6,26598.31
71,66,56,3,29531.13
72,94,77,10,49412.37
73,58,95,8,91402.18
74,64,57,4,46148.34
75,39,91,3,44646.33
76,54,51,8,22079.71
77,25,13,3,42592.38
78,45,45,3,73222.8
79,83,53,8,33608.67
80,3,93,1,95196.61
81,62,98,10,31972.46
82,50,77,9,60980.04
83,33,57,8,61205.98
84,18,10,5,90070.4
85,50,35,9,74026.04
86,25,98,7,78400.42
87,59,93,10,87525.84
88,30,57,1,43793.63
89,2,6,3,42955.0
90,99,69,9,39795.28
91,28,40,7,75999.3
92,3,49,3,67299.48
93,26,89,8,32830.7
94,7,90,1,89068.12
95,5,58,7,17110.65
96,63,93,4,80788.26
97,96,20,9,74789.39
98,69,65,8,54766.88
99,76,93,2,38023.01
100,53,7,6,84338.28
101,27,62,9,98072.07
102,62,3,5,24552.52
103,29,27,1,31209.52
104,53,81,2,17467.81
105,82,69,9,79054.39
106,81,31,5,77612.34
107,59,38,4,49609.72
108,51,49,3,28447.15
109,76,61,6,24682.38
110,76,98,10,56920.6
111,86,15,9,15734.67
112,95,90,10,92161.64
113,81,93,5,99749.83
114,72,75,6,40123.31
115,4,58,6,83660.24
116,79,1,7,48883.24
117,5,60,2,42961.42
118,17,24,2,42086.49
119,25,66,10,29187.58
120,99,68,6,85553.66
121,45,99,7,25967.97
122,46,68,9,74242.95
123,5,28,5,85162.21
124,94,73,10,95120.0
125,97,3,10,86305.34
126,29,25,2,13573.64
127,36,92,9,58308.9
128,20,70,10,40259.58
129,56,91,2,37778.36
130,92,59,3,49671.52
131,36,26,2,50331.5
132,26,93,1,95996.99
133,72,67,5,77931.68
134,70,91,1,27379.09
135,35,3,10,44705.87
136,16,55,9,40209.54
137,77,81,4,75879.98
138,7,14,8,85516.0
139,46,40,3,44810.69
140,2,36,2,65823.34
141,23,9,9,41488.31
142,28,11,9,36924.98
143,85,38,2,39677.67
144,41,36,5,17949.75
145,30,94,6,29547.78
146,57,95,2,48335.01
147,23,47,4,53369.87
148,60,84,3,16477.48
149,2,47,9,88213.56
150,18,19,9,98063.33
151,42,21,4,32478.22
152,61,9,2,55330.93
153,48,49,6,27794.03
154,52,92,7,76280.5
155,78,21,4,86069.93
156,84,92,9,66351.51
157,41,92,1,77983.02
158,77,6,6,75488.57
159,51,85,4,64505.63
160,12,24,9,59623.99
161,6,38,5,72709.12
162,18,63,10,73119.26
163,3,91,8,93209.27
164,53,84,9,30243.55
165,92,55,6,32257.25
166,36,67,3,61958.05
167,25,75,2,42526.81
168,77,53,4,81813.19
169,76,64,1,58179.15
170,44,35,7,78188.17
171,33,61,5,22825.2
172,74,1,8,56677.86
173,69,38,1,73083.6
174,51,3,9,57911.71
175,56,29,10,23077.31
176,96,5,3,99791.68
177,100,22,7,38290.86
178,76,30,8,59045.36
179,89,35,8,64215.89
180,43,89,7,68302.91
181,63,89,8,97501.95
182,9,85,4,58945.59
183,24,28,9,35566.64
184,6,100,6,41787.82
185,81,36,5,88782.07
186,59,27,7,93644.87
187,91,70,5,63864.45
188,89,59,3,13157.67
189,83,25,2,55311.84
190,5,62,1,98270.3
191,1,26,10,28542.54
192,46,27,9,31409.92
193,26,77,8,63609.61
194,76,100,7,74943.66
195,71,38,10,50950.63
196,80,59,6,31432.3
197,61,33,1,99555.92
